=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     titanic
Instances:    891
Attributes:   12
              PassengerId
              Pclass
              Name
              Sex
              Age
              SibSp
              Parch
              Ticket
              Fare
              Cabin
              Embarked
              Survived
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 0.28 seconds

=== Predictions on training set ===

    inst#     actual  predicted error prediction
        1        1:0        1:0       0.908 
        2        2:1        2:1       0.811 
        3        2:1        2:1       0.777 
        4        2:1        2:1       0.762 
        5        1:0        1:0       0.861 
        6        1:0        1:0       0.879 
        7        1:0        1:0       0.875 
        8        1:0        1:0       0.909 
        9        2:1        2:1       0.822 
       10        2:1        2:1       0.747 
       11        2:1        2:1       0.814 
       12        2:1        2:1       0.807 
       13        1:0        1:0       0.867 
       14        1:0        1:0       0.922 
       15        1:0        1:0       0.816 
       16        2:1        2:1       0.771 
       17        1:0        1:0       0.921 
       18        2:1        2:1       0.802 
       19        1:0        1:0       0.793 
       20        2:1        2:1       0.777 
       21        1:0        1:0       0.89 
       22        2:1        2:1       0.736 
       23        2:1        2:1       0.772 
       24        2:1        2:1       0.697 
       25        1:0        1:0       0.896 
       26        2:1        2:1       0.74 
       27        1:0        1:0       0.887 
       28        1:0        1:0       0.837 
       29        2:1        2:1       0.795 
       30        1:0        1:0       0.862 
       31        1:0        1:0       0.838 
       32        2:1        2:1       0.881 
       33        2:1        2:1       0.729 
       34        1:0        1:0       0.845 
       35        1:0        1:0       0.827 
       36        1:0        1:0       0.808 
       37        2:1        2:1       0.743 
       38        1:0        1:0       0.865 
       39        1:0        1:0       0.912 
       40        2:1        2:1       0.829 
       41        1:0        1:0       0.881 
       42        1:0        1:0       0.821 
       43        1:0        1:0       0.881 
       44        2:1        2:1       0.821 
       45        2:1        2:1       0.765 
       46        1:0        1:0       0.879 
       47        1:0        1:0       0.861 
       48        2:1        2:1       0.817 
       49        1:0        1:0       0.894 
       50        1:0        1:0       0.845 
       51        1:0        1:0       0.891 
       52        1:0        1:0       0.861 
       53        2:1        2:1       0.898 
       54        2:1        2:1       0.795 
       55        1:0        1:0       0.848 
       56        2:1        2:1       0.771 
       57        2:1        2:1       0.78 
       58        1:0        1:0       0.875 
       59        2:1        2:1       0.737 
       60        1:0        1:0       0.906 
       61        1:0        1:0       0.878 
       62        2:1        2:1       0.845 
       63        1:0        1:0       0.84 
       64        1:0        1:0       0.898 
       65        1:0        1:0       0.811 
       66        2:1        2:1       0.828 
       67        2:1        2:1       0.838 
       68        1:0        1:0       0.896 
       69        2:1        2:1       0.772 
       70        1:0        1:0       0.859 
       71        1:0        1:0       0.88 
       72        1:0        1:0       0.912 
       73        1:0        1:0       0.881 
       74        1:0        1:0       0.882 
       75        2:1        2:1       0.778 
       76        1:0        1:0       0.884 
       77        1:0        1:0       0.862 
       78        1:0        1:0       0.887 
       79        2:1        2:1       0.869 
       80        2:1        2:1       0.798 
       81        1:0        1:0       0.884 
       82        2:1        2:1       0.749 
       83        2:1        2:1       0.773 
       84        1:0        1:0       0.852 
       85        2:1        2:1       0.855 
       86        2:1        2:1       0.822 
       87        1:0        1:0       0.892 
       88        1:0        1:0       0.87 
       89        2:1        2:1       0.772 
       90        1:0        1:0       0.877 
       91        1:0        1:0       0.869 
       92        1:0        1:0       0.877 
       93        1:0        1:0       0.877 
       94        1:0        1:0       0.847 
       95        1:0        1:0       0.878 
       96        1:0        1:0       0.871 
       97        1:0        1:0       0.857 
       98        2:1        2:1       0.729 
       99        2:1        2:1       0.859 
      100        1:0        1:0       0.791 
      101        1:0        1:0       0.822 
      102        1:0        1:0       0.878 
      103        1:0        1:0       0.886 
      104        1:0        1:0       0.882 
      105        1:0        1:0       0.9 
      106        1:0        1:0       0.892 
      107        2:1        2:1       0.785 
      108        2:1        2:1       0.807 
      109        1:0        1:0       0.895 
      110        2:1        2:1       0.733 
      111        1:0        1:0       0.901 
      112        1:0        1:0       0.886 
      113        1:0        1:0       0.863 
      114        1:0        1:0       0.855 
      115        1:0        1:0       0.86 
      116        1:0        1:0       0.873 
      117        1:0        1:0       0.886 
      118        1:0        1:0       0.855 
      119        1:0        1:0       0.826 
      120        1:0        1:0       0.891 
      121        1:0        1:0       0.907 
      122        1:0        1:0       0.881 
      123        1:0        1:0       0.791 
      124        2:1        2:1       0.801 
      125        1:0        1:0       0.899 
      126        2:1        2:1       0.797 
      127        1:0        1:0       0.86 
      128        2:1        2:1       0.727 
      129        2:1        2:1       0.831 
      130        1:0        1:0       0.906 
      131        1:0        1:0       0.871 
      132        1:0        1:0       0.875 
      133        1:0        1:0       0.818 
      134        2:1        2:1       0.772 
      135        1:0        1:0       0.826 
      136        1:0        1:0       0.867 
      137        2:1        2:1       0.808 
      138        1:0        1:0       0.816 
      139        1:0        1:0       0.885 
      140        1:0        1:0       0.9 
      141        1:0        1:0       0.877 
      142        2:1        2:1       0.797 
      143        2:1        2:1       0.705 
      144        1:0        1:0       0.915 
      145        1:0        1:0       0.82 
      146        1:0        1:0       0.826 
      147        2:1        2:1       0.765 
      148        1:0        1:0       0.894 
      149        1:0        1:0       0.785 
      150        1:0        1:0       0.885 
      151        1:0        1:0       0.842 
      152        2:1        2:1       0.783 
      153        1:0        1:0       0.864 
      154        1:0        1:0       0.892 
      155        1:0        1:0       0.887 
      156        1:0        1:0       0.84 
      157        2:1        2:1       0.758 
      158        1:0        1:0       0.873 
      159        1:0        1:0       0.878 
      160        1:0        1:0       0.926 
      161        1:0        1:0       0.858 
      162        2:1        2:1       0.847 
      163        1:0        1:0       0.892 
      164        1:0        1:0       0.876 
      165        1:0        1:0       0.901 
      166        2:1        2:1       0.755 
      167        2:1        2:1       0.85 
      168        1:0        1:0       0.912 
      169        1:0        1:0       0.854 
      170        1:0        1:0       0.817 
      171        1:0        1:0       0.871 
      172        1:0        1:0       0.912 
      173        2:1        2:1       0.856 
      174        1:0        1:0       0.897 
      175        1:0        1:0       0.847 
      176        1:0        1:0       0.855 
      177        1:0        1:0       0.923 
      178        1:0        1:0       0.788 
      179        1:0        1:0       0.833 
      180        1:0        1:0       0.843 
      181        1:0        1:0       0.903 
      182        1:0        1:0       0.888 
      183        1:0        1:0       0.775 
      184        2:1        2:1       0.81 
      185        2:1        2:1       0.809 
      186        1:0        1:0       0.823 
      187        2:1        2:1       0.779 
      188        2:1        2:1       0.782 
      189        1:0        1:0       0.898 
      190        1:0        1:0       0.861 
      191        2:1        2:1       0.8 
      192        1:0        1:0       0.87 
      193        2:1        2:1       0.839 
      194        2:1        2:1       0.832 
      195        2:1        2:1       0.816 
      196        2:1        2:1       0.84 
      197        1:0        1:0       0.877 
      198        1:0        1:0       0.876 
      199        2:1        2:1       0.759 
      200        1:0        1:0       0.812 
      201        1:0        1:0       0.883 
      202        1:0        1:0       0.913 
      203        1:0        1:0       0.872 
      204        1:0        1:0       0.863 
      205        2:1        2:1       0.763 
      206        1:0        1:0       0.885 
      207        1:0        1:0       0.85 
      208        2:1        2:1       0.786 
      209        2:1        2:1       0.797 
      210        2:1        2:1       0.75 
      211        1:0        1:0       0.877 
      212        2:1        2:1       0.814 
      213        1:0        1:0       0.85 
      214        1:0        1:0       0.839 
      215        1:0        1:0       0.868 
      216        2:1        2:1       0.841 
      217        2:1        2:1       0.749 
      218        1:0        1:0       0.82 
      219        2:1        2:1       0.809 
      220        1:0        1:0       0.835 
      221        2:1        2:1       0.772 
      222        1:0        1:0       0.873 
      223        1:0        1:0       0.887 
      224        1:0        1:0       0.893 
      225        2:1        2:1       0.799 
