@relation 'titanic-weka.filters.unsupervised.attribute.Remove-R1,3,6,8,11'

@attribute Pclass numeric
@attribute Sex {male,female}
@attribute Age numeric
@attribute Parch numeric
@attribute Fare numeric
@attribute Cabin {C85,C123,E46,G6,C103,D56,A6,'C23 C25 C27',B78,D33,B30,C52,B28,C83,F33,'F G73',E31,A5,'D10 D12',D26,C110,'B58 B60',E101,'F E69',D47,B86,F2,C2,E33,B19,A7,C49,F4,A32,B4,B80,A31,D36,D15,C93,C78,D35,C87,B77,E67,B94,C125,C99,C118,D7,A19,B49,D,'C22 C26',C106,C65,E36,C54,'B57 B59 B63 B66',C7,E34,C32,B18,C124,C91,E40,T,C128,D37,B35,E50,C82,'B96 B98',E10,E44,A34,C104,C111,C92,E38,D21,E12,E63,A14,B37,C30,D20,B79,E25,D46,B73,C95,B38,B39,B22,C86,C70,A16,C101,C68,A10,E68,B41,A20,D19,D50,D9,A23,B50,A26,D48,E58,C126,B71,'B51 B53 B55',D49,B5,B20,'F G63','C62 C64',E24,C90,C45,E8,B101,D45,C46,D30,E121,D11,E77,F38,B3,D6,'B82 B84',D17,A36,B102,B69,E49,C47,D28,E17,A24,C50,B42,C148}
@attribute Survived {0,1}

@data
3,male,22,0,7.25,?,0
1,female,38,0,71.2833,C85,1
3,female,26,0,7.925,?,1
1,female,35,0,53.1,C123,1
3,male,35,0,8.05,?,0
3,male,?,0,8.4583,?,0
1,male,54,0,51.8625,E46,0
3,male,2,1,21.075,?,0
3,female,27,2,11.1333,?,1
2,female,14,0,30.0708,?,1
3,female,4,1,16.7,G6,1
1,female,58,0,26.55,C103,1
3,male,20,0,8.05,?,0
3,male,39,5,31.275,?,0
3,female,14,0,7.8542,?,0
2,female,55,0,16,?,1
3,male,2,1,29.125,?,0
2,male,?,0,13,?,1
3,female,31,0,18,?,0
3,female,?,0,7.225,?,1
2,male,35,0,26,?,0
2,male,34,0,13,D56,1
3,female,15,0,8.0292,?,1
1,male,28,0,35.5,A6,1
3,female,8,1,21.075,?,0
3,female,38,5,31.3875,?,1
3,male,?,0,7.225,?,0
1,male,19,2,263,'C23 C25 C27',0
3,female,?,0,7.8792,?,1
3,male,?,0,7.8958,?,0
1,male,40,0,27.7208,?,0
1,female,?,0,146.5208,B78,1
3,female,?,0,7.75,?,1
2,male,66,0,10.5,?,0
1,male,28,0,82.1708,?,0
1,male,42,0,52,?,0
3,male,?,0,7.2292,?,1
